Name,Meta Critic,Cost,Class,Country,Whiskey Type
Ledaig 42yo Dusgadh,9.46,$$$$$+,SingleMalt-like,Scotland,Malt
"Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)",9.39,$$$$$+,SingleMalt-like,Scotland,Malt
Glenfarclas 40yo,9.27,$$$$$+,SingleMalt-like,Scotland,Malt
Glengoyne 25yo,9.2,$$$$$+,SingleMalt-like,Scotland,Malt
Amrut Spectrum (Batch 1),9.18,$$$$$,SingleMalt-like,India,Malt
Highland Park 25yo,9.17,$$$$$+,SingleMalt-like,Scotland,Malt
Highland Park 40yo,9.16,$$$$$+,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 33),9.12,$$$$,SingleMalt-like,Scotland,Malt
Amrut Greedy Angels (8yo and 10yo),9.12,$$$$$+,SingleMalt-like,India,Malt
Balvenie TUN 1401 (all 9 batches),9.12,$$$$$+,SingleMalt-like,Scotland,Malt
Highland Park 30yo,9.12,$$$$$+,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 37),9.11,$$$$,SingleMalt-like,Scotland,Malt
Amrut Spectrum (all batches),9.11,$$$$$,SingleMalt-like,India,Malt
Kavalan Solist PX Cask,9.11,$$$$$+,SingleMalt-like,Taiwan,Malt
Nikka Single Cask Coffey Malt 12yo,9.11,$$$$$,SingleMalt-like,Japan,Malt
Redbreast 21yo,9.11,$$$$$,SingleMalt-like,Ireland,Malt
Laphroaig 25yo,9.1,$$$$$+,SingleMalt-like,Scotland,Malt
Yamazaki 18yo,9.1,$$$$$,SingleMalt-like,Japan,Malt
Aberlour A'Bunadh (Batch 49),9.09,$$$$,SingleMalt-like,Scotland,Malt
Amrut Spectrum 004 (Batch 2),9.09,$$$$$,SingleMalt-like,India,Malt
Compass Box Last Vatted Malt,9.09,$$$$$,SingleMalt-like,Scotland,Malt
Tamdhu 30yo (MacPhail Collection 2009),9.09,$$$$$,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 40),9.08,$$$$,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 52),9.07,$$$$,SingleMalt-like,Scotland,Malt
Highland Park 17yo The Dark,9.07,$$$$$,SingleMalt-like,Scotland,Malt
Kavalan Solist Sherry Cask,9.07,$$$$$,SingleMalt-like,Taiwan,Malt
Sheep Dip Old Hebridean 1990 Blended Malt,9.07,$$$$,SingleMalt-like,Scotland,Malt
Yamazaki Sherry Cask (all vintages),9.07,$$$$$+,SingleMalt-like,Japan,Malt
Bruichladdich 21yo Cuvée 407 PX,9.06,$$$$$+,SingleMalt-like,Scotland,Malt
Highland Park 16yo Odin,9.06,$$$$$+,SingleMalt-like,Scotland,Malt
GlenDronach Cask Strength (batch 2),9.05,$$$$,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 53),9.04,$$$$,SingleMalt-like,Scotland,Malt
BenRiach 18yo Albariza Pedro Ximenez Peated,9.04,$$$$$,SingleMalt-like,Scotland,Malt
Bowmore Springtide,9.04,$$$$$,SingleMalt-like,Scotland,Malt
GlenDronach Cask Strength (batch 1),9.04,$$$$,SingleMalt-like,Scotland,Malt
Highland Park 18yo,9.04,$$$$$,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 58),9.03,$$$$,SingleMalt-like,Scotland,Malt
Benromach 10yo Cask Strength (100 proof),9.03,$$$$,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 39),9.02,$$$$,SingleMalt-like,Scotland,Malt
Karuizawa 1990 Sherry Butt,9.02,$$$$$+,SingleMalt-like,Japan,Malt
Kavalan Solist Manzanilla Cask,9.02,$$$$$+,SingleMalt-like,Taiwan,Malt
Kilchoman Port Cask Matured,9.02,$$$$$,SingleMalt-like,Scotland,Malt
GlenDronach vintage 20yo Single Cask (all vintages),9,$$$$$,SingleMalt-like,Scotland,Malt
Kavalan Solist Vinho Barrique,9,$$$$$,SingleMalt-like,Taiwan,Malt
Aberlour A'Bunadh (Batch 35),8.99,$$$$,SingleMalt-like,Scotland,Malt
Bladnoch 12yo Sherry Cask (Sheep label),8.99,$$$$$,SingleMalt-like,Scotland,Malt
Highland Park 15yo Loki,8.99,$$$$$+,SingleMalt-like,Scotland,Malt
Springbank 21yo,8.99,$$$$$+,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 45),8.98,$$$$,SingleMalt-like,Scotland,Malt
Arran Malt 21st Anniversary Edition,8.98,$$$$$,SingleMalt-like,Scotland,Malt
Bunnahabhain 18yo,8.98,$$$$$,SingleMalt-like,Scotland,Malt
Kavalan Solist Amontillado Cask,8.98,$$$$$+,SingleMalt-like,Taiwan,Malt
Nikka Taketsuru 21yo,8.98,$$$$$,SingleMalt-like,Japan,Malt
Aberlour A'Bunadh (Batch 36),8.97,$$$$,SingleMalt-like,Scotland,Malt
Amrut Portonova,8.97,$$$$,SingleMalt-like,India,Malt
Glenmorangie Signet,8.97,$$$$$,SingleMalt-like,Scotland,Malt
Amrut PX Sherry Single Cask 2696 (LCBO),8.96,$$$$$,SingleMalt-like,India,Malt
BenRiach 17yo Solstice Peated Port (both editions),8.96,$$$$,SingleMalt-like,Scotland,Malt
Bushmills 21yo Single Malt,8.95,$$$$$,SingleMalt-like,Ireland,Malt
GlenDronach vintage 19yo Single Cask (all vintages),8.95,$$$$$,SingleMalt-like,Scotland,Malt
Glenlivet Alpha,8.95,$$$$$+,SingleMalt-like,Scotland,Malt
Hakushu Sherry Cask,8.95,$$$$$+,SingleMalt-like,Japan,Malt
Aberlour A'Bunadh (Batch 30),8.94,$$$$,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 54),8.94,$$$$,SingleMalt-like,Scotland,Malt
GlenDronach Cask Strength (batch 3),8.94,$$$$,SingleMalt-like,Scotland,Malt
Kavalan Solist Fino Sherry Cask,8.94,$$$$$+,SingleMalt-like,Taiwan,Malt
Tomatin 40yo,8.94,$$$$$+,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (all batches),8.93,$$$$,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 47),8.93,$$$$,SingleMalt-like,Scotland,Malt
BenRiach 17yo Solstice 2nd Peated Port Finish,8.93,$$$$,SingleMalt-like,Scotland,Malt
